GO_ID,GO_Term,Annotated,Significant,Expected,elimKS_pvalue,Ontology
GO:0000786,nucleosome,77,1,3.58,9.829457e-01,CC
GO:0005834,heterotrimeric G-protein complex,44,1,2.05,9.872859e-01,CC
GO:0032993,protein-DNA complex,90,1,4.19,9.873897e-01,CC
GO:0042729,DASH complex,19,1,0.88,9.911605e-01,CC
GO:0030131,clathrin adaptor complex,22,1,1.02,9.915431e-01,CC
GO:0005576,extracellular region,374,10,17.41,9.923284e-01,CC
GO:0005681,spliceosomal complex,71,2,3.30,9.948694e-01,CC
GO:0005737,cytoplasm,573,25,26.67,9.952820e-01,CC
GO:0030117,membrane coat,56,1,2.61,9.967272e-01,CC
GO:0043231,intracellular membrane-bounded organelle,1595,60,74.24,9.968890e-01,CC
GO:0043229,intracellular organelle,1611,60,74.98,9.969836e-01,CC
GO:0030119,AP-type membrane coat adaptor complex,25,1,1.16,9.977532e-01,CC
GO:1902494,catalytic complex,56,2,2.61,9.993344e-01,CC
GO:0005829,cytosol,52,1,2.42,9.994994e-01,CC
GO:0005743,mitochondrial inner membrane,139,5,6.47,9.996085e-01,CC
GO:0019866,organelle inner membrane,141,5,6.56,9.998710e-01,CC
GO:0005768,endosome,10,0,0.47,1.000000e+00,CC
GO:0030135,coated vesicle,7,0,0.33,1.000000e+00,CC
GO:0046540,U4/U6 x U5 tri-snRNP complex,13,0,0.61,1.000000e+00,CC
GO:0005741,mitochondrial outer membrane,20,0,0.93,1.000000e+00,CC
GO:0005685,U1 snRNP,6,0,0.28,1.000000e+00,CC
GO:0097526,spliceosomal tri-snRNP complex,13,0,0.61,1.000000e+00,CC
GO:0031428,box C/D methylation guide snoRNP complex,5,0,0.23,1.000000e+00,CC
GO:0005684,U2-type spliceosomal complex,5,0,0.23,1.000000e+00,CC
GO:0170049,box C/D RNP complex,5,0,0.23,1.000000e+00,CC
GO:0097525,spliceosomal snRNP complex,20,0,0.93,1.000000e+00,CC
GO:0015935,small ribosomal subunit,22,0,1.02,1.000000e+00,CC
GO:0030122,AP-2 adaptor complex,5,0,0.23,1.000000e+00,CC
GO:0030126,COPI vesicle coat,14,0,0.65,1.000000e+00,CC
GO:0009277,fungal-type cell wall,8,0,0.37,1.000000e+00,CC
GO:0030127,COPII vesicle coat,13,0,0.61,1.000000e+00,CC
GO:0016282,eukaryotic 43S preinitiation complex,23,0,1.07,1.000000e+00,CC
GO:0031314,extrinsic component of mitochondrial inner membrane,8,0,0.37,1.000000e+00,CC
GO:0005656,nuclear pre-replicative complex,8,0,0.37,1.000000e+00,CC
GO:0031932,TORC2 complex,7,0,0.33,1.000000e+00,CC
GO:0031414,N-terminal protein acetyltransferase complex,7,0,0.33,1.000000e+00,CC
GO:0030687,"preribosome, large subunit precursor",7,0,0.33,1.000000e+00,CC
GO:0030688,"preribosome, small subunit precursor",9,0,0.42,1.000000e+00,CC
GO:0033290,eukaryotic 48S preinitiation complex,22,0,1.02,1.000000e+00,CC
GO:0031931,TORC1 complex,7,0,0.33,1.000000e+00,CC
GO:0030121,AP-1 adaptor complex,5,0,0.23,1.000000e+00,CC
GO:0015934,large ribosomal subunit,22,1,1.02,1.000000e+00,CC
GO:0030686,90S preribosome,7,0,0.33,1.000000e+00,CC
GO:0031968,organelle outer membrane,20,0,0.93,1.000000e+00,CC
GO:0000324,fungal-type vacuole,5,0,0.23,1.000000e+00,CC
GO:0005839,proteasome core complex,9,0,0.42,1.000000e+00,CC
GO:0046695,SLIK (SAGA-like) complex,6,0,0.28,1.000000e+00,CC
GO:0030008,TRAPP complex,7,0,0.33,1.000000e+00,CC
GO:0019773,"proteasome core complex, alpha-subunit complex",8,0,0.37,1.000000e+00,CC
GO:0005871,kinesin complex,10,0,0.47,1.000000e+00,CC
GO:0005887,plasma membrane,11,0,0.51,1.000000e+00,CC
GO:0005795,Golgi stack,6,0,0.28,1.000000e+00,CC
GO:0030120,vesicle coat,29,0,1.35,1.000000e+00,CC
GO:0051286,cell tip,5,0,0.23,1.000000e+00,CC
GO:0038201,TOR complex,11,0,0.51,1.000000e+00,CC
GO:0005618,cell wall,8,0,0.37,1.000000e+00,CC
GO:0033180,"proton-transporting V-type ATPase, V1 domain",7,0,0.33,1.000000e+00,CC
GO:0019867,outer membrane,21,0,0.98,1.000000e+00,CC
GO:0000323,lytic vacuole,5,0,0.23,1.000000e+00,CC
GO:0005956,protein kinase CK2 complex,7,0,0.33,1.000000e+00,CC
GO:0031248,protein acetyltransferase complex,7,0,0.33,1.000000e+00,CC
GO:0030479,actin cortical patch,17,0,0.79,1.000000e+00,CC
GO:0000124,SAGA complex,12,0,0.56,1.000000e+00,CC
GO:0030677,ribonuclease P complex,6,0,0.28,1.000000e+00,CC
GO:0000322,storage vacuole,5,0,0.23,1.000000e+00,CC
GO:0030532,small nuclear ribonucleoprotein complex,21,0,0.98,1.000000e+00,CC
GO:0005732,sno(s)RNA-containing ribonucleoprotein complex,11,0,0.51,1.000000e+00,CC
GO:0030014,CCR4-NOT complex,6,0,0.28,1.000000e+00,CC
GO:0000776,kinetochore,12,0,0.56,1.000000e+00,CC
GO:0030684,preribosome,34,1,1.58,1.000000e+00,CC
GO:0031312,extrinsic component of organelle membrane,9,0,0.42,1.000000e+00,CC
GO:0030015,CCR4-NOT core complex,7,0,0.33,1.000000e+00,CC
GO:0012507,ER to Golgi transport vesicle membrane,10,0,0.47,1.000000e+00,CC
GO:0036387,pre-replicative complex,8,0,0.37,1.000000e+00,CC
GO:0031261,DNA replication preinitiation complex,12,0,0.56,1.000000e+00,CC
GO:0005816,spindle pole body,13,0,0.61,1.000000e+00,CC
GO:0070993,cytosolic translation preinitiation complex,23,0,1.07,1.000000e+00,CC
GO:0033588,elongator holoenzyme complex,6,0,0.28,1.000000e+00,CC
GO:0044391,ribosomal subunit,42,1,1.95,1.000000e+00,CC
GO:0008540,"proteasome regulatory particle, base subcomplex",22,0,1.02,1.000000e+00,CC
GO:0005885,Arp2/3 protein complex,10,0,0.47,1.000000e+00,CC
GO:0030312,external encapsulating structure,10,0,0.47,1.000000e+00,CC
GO:0005773,vacuole,5,0,0.23,1.000000e+00,CC
GO:0005852,eukaryotic translation initiation factor 3 complex,22,0,1.02,1.000000e+00,CC
GO:0034399,nuclear periphery,5,0,0.23,1.000000e+00,CC
GO:0000329,fungal-type vacuole membrane,9,0,0.42,1.000000e+00,CC
GO:0005666,RNA polymerase III complex,8,0,0.37,1.000000e+00,CC
GO:0031391,Elg1 RFC-like complex,6,0,0.28,1.000000e+00,CC
GO:0000922,spindle pole,13,0,0.61,1.000000e+00,CC
GO:0045254,pyruvate dehydrogenase complex,6,0,0.28,1.000000e+00,CC
GO:0008622,epsilon DNA polymerase complex,5,0,0.23,1.000000e+00,CC
GO:0000808,origin recognition complex,5,0,0.23,1.000000e+00,CC
GO:0016272,prefoldin complex,11,0,0.51,1.000000e+00,CC
GO:0000930,gamma-tubulin complex,16,0,0.74,1.000000e+00,CC
GO:0120114,Sm-like protein family complex,25,0,1.16,1.000000e+00,CC
GO:0005838,proteasome regulatory particle,5,0,0.23,1.000000e+00,CC
GO:0032156,septin cytoskeleton,12,0,0.56,1.000000e+00,CC
GO:0031984,organelle subcompartment,12,0,0.56,1.000000e+00,CC
GO:0030662,coated vesicle membrane,10,0,0.47,1.000000e+00,CC
