"Gene ID","Gene Name","Gene Description",FC(M30/M5),Log2FC(M30/M5),Pvalue,Padjust,Significant,Regulate,M30_1,M30_2,M30_3,M5_1,M5_2,M5_3,M30,M5
EVM0000010,,-,2.63948570999,1.40025685537,0.000284123615254,0.00434395306438,yes,up,75.02,93.13,99.3,29.45,29.7,37.84,89.15,32.33
EVM0000022,,-,0.090366808991,-3.46806321024,0.0050559254902,0.0358563645355,yes,down,0,0.18,0.43,2.3,3.9,0.55,0.203333333333,2.25
EVM0000034,,-,0.336930167707,-1.5694784861,0.00310127091201,0.0253180636908,yes,down,58.35,56.43,50.61,183.27,232.96,57.02,55.13,157.75
EVM0000035,,-,0.0886507166971,-3.49572389513,0.0002303838671,0.00367831214382,yes,down,0.29,5.4,0.32,6.09,20.98,28.56,2.00333333333,18.5433333333
EVM0000075,,-,0.454468693859,-1.1377471773,0.00425593658992,0.0315941698566,yes,down,4,8.35,4.28,12.81,8.12,12.92,5.54333333333,11.2833333333
EVM0000091,,-,0.408419960577,-1.29187471858,0.00267949728169,0.0227368617176,yes,down,6.64,6.68,6.52,20.25,18.31,8.42,6.61333333333,15.66
EVM0000108,,-,0.304025436355,-1.71773606277,0.00687615150523,0.044846856031,yes,down,5.72,6.78,6.62,40.19,16.44,5.08,6.37333333333,20.57
EVM0000110,,-,12.926716831,3.69228399625,2.3021614959E-6,0.000100708709851,yes,up,6803.42,3169.46,4588.5,850.31,42.03,278.65,4853.79333333,390.33
EVM0000139,,-,0.0185934682915,-5.74906028449,2.0271746667E-5,0.000569334943077,yes,down,0,0.38,0,3.05,7.9,6.82,0.126666666667,5.92333333333
EVM0000145,,-,0.356617254775,-1.48755158605,0.000750810926068,0.00887858259865,yes,down,30.55,30.92,23.54,103,87.79,38.78,28.3366666667,76.5233333333
EVM0000151,,-,0.0224401452394,-5.47777417624,3.40630408404E-5,0.000846127548714,yes,down,0.12,0.26,0,1.26,12.13,2.87,0.126666666667,5.42
EVM0000165,,-,0.162733527732,-2.61941657707,0.0019012922176,0.0175974526863,yes,down,0.16,0.57,0.25,0.64,2.61,1.97,0.326666666667,1.74
EVM0000175,,-,0.381205840331,-1.39135787241,0.000428297153739,0.00586907304569,yes,down,283.37,317.74,248.61,846.08,876.27,410.7,283.24,711.016666667
EVM0000184,,-,6.33349929623,2.66300281757,0.00766840610724,0.0485436095878,yes,up,1.14,2.38,1.03,0,0.19,0.46,1.51666666667,0.216666666667
EVM0000192,,-,2.20159320003,1.13854791916,0.00465703306044,0.0337058746667,yes,up,10.31,12.37,13.02,6.84,3.87,4.9,11.9,5.20333333333
EVM0000197,,-,0.0508913254763,-4.29643642265,4.7625320699E-11,9.00408959508E-9,yes,down,1.38,2.38,0.96,33.59,45.28,7.61,1.57333333333,28.8266666667
EVM0000215,,-,0.321152662143,-1.6386688394,0.0014016682689,0.0139923136979,yes,down,11.55,18.31,10.61,62.71,40.77,16.25,13.49,39.91
EVM0000221,,-,0.00368971717966,-8.08227404809,4.62610370404E-6,0.00017535082084,yes,down,0,0,0,1.3,6.14,55.5,0,20.98
EVM0000240,,-,13.9020774857,3.79722858606,0.0011582671107,0.0122379997951,yes,up,4.54,2.76,6.01,0.8,0.23,0,4.43666666667,0.343333333333
EVM0000265,,-,2.60814680711,1.38302507813,0.000953927807163,0.0107009716313,yes,up,38.73,39.35,26.61,16.54,13.38,8.57,34.8966666667,12.83
EVM0000267,,-,2.53224902353,1.3404192876,0.00414312129357,0.0309695320223,yes,up,37.94,43.98,27.01,12.12,8.09,20.18,36.31,13.4633333333
EVM0000274,,-,0.243505626084,-2.0379729894,7.49810910436E-7,3.96734421314E-5,yes,down,87.99,75.37,59.46,388.19,321.5,175.86,74.2733333333,295.183333333
EVM0000284,,-,0.284098565298,-1.81553654898,0.000194597113137,0.00320258921971,yes,down,8.53,9.73,8.73,38.28,39.25,13.83,8.99666666667,30.4533333333
EVM0000288,,-,4.69517282965,2.23117826456,1.96082537486E-6,8.83682435653E-5,yes,up,177.47,195.8,142.28,32.28,17.98,53.64,171.85,34.6333333333
EVM0000289,,-,0.436207325113,-1.19691409791,0.00626242386821,0.0417755409763,yes,down,12.06,17.65,11.62,38.44,35.84,15.39,13.7766666667,29.89
EVM0000294,,-,2.56153716881,1.35700982596,0.000317503317287,0.00469232976921,yes,up,40.44,36.91,32.07,16.84,11.64,12.7,36.4733333333,13.7266666667
EVM0000297,,-,3.03582812213,1.60209011276,0.000551723176667,0.00703401678279,yes,up,292.22,195.88,274.61,49.4,91.7,101.35,254.236666667,80.8166666667
EVM0000309,,-,2.29997283438,1.2016168212,0.00164098768784,0.0156941592378,yes,up,22.55,30.4,23.94,9.3,10.97,11.28,25.63,10.5166666667
EVM0000324,,-,0.42685872537,-1.22816942535,0.00431279188275,0.0318235185903,yes,down,27.01,32.55,21.66,84.94,64.6,32.39,27.0733333333,60.6433333333
EVM0000345,,-,2.46102432304,1.29925891645,0.000695560358163,0.00835265083857,yes,up,91.91,88.43,88.19,37.46,23.52,44.02,89.51,35
EVM0000352,,-,0.0152287935634,-6.03705453482,2.39347562095E-10,3.67386658926E-8,yes,down,1.21,2.43,0,48.12,150.5,20.44,1.21333333333,73.02
EVM0000353,,-,2.46583717223,1.30207753674,0.00040053238677,0.00557401579183,yes,up,104.3,92.48,109.9,42.32,42,36.69,102.226666667,40.3366666667
EVM0000391,,-,0.105581632029,-3.24356922312,9.99280524142E-7,4.96533524544E-5,yes,down,0.63,1.27,0.64,14.02,6.47,2.4,0.846666666667,7.63
EVM0000396,,-,0.328137723252,-1.60762663691,2.34928957142E-5,0.00064121542651,yes,down,86.99,115.28,66.98,221.88,340.66,203.9,89.75,255.48
EVM0000404,,-,0.268138881919,-1.89894766003,0.00133222970805,0.0135255777105,yes,down,1.84,3.7,2.97,7.39,15.22,6.97,2.83666666667,9.86
EVM0000442,,-,0.118304845655,-3.07941892856,0.0002899653944,0.00439856507767,yes,down,1.91,13.28,0.93,14.9,64.01,34.96,5.37333333333,37.9566666667
EVM0000443,,-,0.284143858855,-1.81530655984,2.37405755411E-5,0.000645858681955,yes,down,22.45,33.32,17.54,51.67,76.09,110.34,24.4366666667,79.3666666667
EVM0000451,,-,0.379465650281,-1.39795879795,0.000195257418867,0.00320325477745,yes,down,25.59,43.6,25.53,93.65,87.32,53.08,31.5733333333,78.0166666667
EVM0000460,,-,0.345062379947,-1.53507090081,0.000235894938697,0.00373934482068,yes,down,4.17,5.79,4.82,20.03,12.72,8.3,4.92666666667,13.6833333333
EVM0000473,,-,0.112386478918,-3.15345961779,3.72807098379E-8,3.09071039902E-6,yes,down,2.57,4.15,1.22,15.85,31.44,17.58,2.64666666667,21.6233333333
EVM0000508,,-,4.6179525397,2.20725334611,0.00507557207953,0.0359627943094,yes,up,6.98,16.62,18.46,7.03,1.26,0.65,14.02,2.98
EVM0000521,,-,0.225571084628,-2.14834595063,0.0079359570635,0.049690773534,yes,down,2.15,3.37,4.95,24.46,18.29,3.24,3.49,15.33
EVM0000524,,-,0.229131549728,-2.12575197408,7.08793898194E-6,0.00024097438166,yes,down,34.19,43.7,26.5,208.93,161.72,64.5,34.7966666667,145.05
EVM0000530,,-,3.07615184994,1.62112672168,0.00758678254835,0.048204053216,yes,up,12.22,19.84,8.21,4.88,2.8,4.47,13.4233333333,4.05
EVM0000543,,-,0.448166407213,-1.15789358072,0.00200193916671,0.0182565075891,yes,down,34.95,49.3,29.88,107.51,80.66,52.91,38.0433333333,80.36
EVM0000549,,-,3.41390732955,1.77142389697,0.000533241851371,0.00686045512183,yes,up,44.36,26.33,22.15,7.45,6.24,12.5,30.9466666667,8.73
EVM0000552,,-,0.183297062735,-2.44774442746,8.75498139296E-7,4.49432041507E-5,yes,down,3.73,4.47,3.42,20.75,29.31,10.17,3.87333333333,20.0766666667
EVM0000584,,-,0.441494910661,-1.1795312876,0.000961845202,0.0107586480279,yes,down,12.71,13.43,11.52,33.15,28.21,20.6,12.5533333333,27.32
EVM0000596,,-,0.381800111028,-1.38911057261,0.00488026498807,0.0348979465452,yes,down,10.68,17.7,5.75,39.37,25.85,18.12,11.3766666667,27.78
EVM0000607,,-,0.400325427068,-1.32075484204,0.000684500218891,0.0082453822016,yes,down,49.12,54.45,33.42,150.94,102.62,73.74,45.6633333333,109.1
EVM0000608,,-,0.121538873729,-3.04051026693,0.00206691236564,0.0186808500192,yes,down,0.09,0.4,1.01,1.32,5.59,4.45,0.5,3.78666666667
EVM0000616,,-,0.469013176251,-1.09229964114,0.00452132580848,0.0330320989674,yes,down,19.27,22.47,17.1,54.22,41.02,25.01,19.6133333333,40.0833333333
EVM0000630,,-,3.22408399197,1.68888932861,2.31350749361E-5,0.000633680329919,yes,up,173.87,157.25,184.75,50.76,35.95,67.84,171.956666667,51.5166666667
EVM0000653,,-,0.325368230715,-1.61985470321,4.60440612575E-6,0.000174956147469,yes,down,70.04,102.05,69.27,299.56,244.13,158.93,80.4533333333,234.206666667
EVM0000660,,-,0.294332842566,-1.76447956327,0.000903463132391,0.0102761474259,yes,down,3.36,3.43,1.46,11.68,10.58,4.48,2.75,8.91333333333
EVM0000664,,-,3.44267823318,1.78353134702,0.00334316217789,0.0266473230045,yes,up,13.72,7.54,10.45,1.81,1.94,5.17,10.57,2.97333333333
EVM0000687,,-,3.74889951211,1.90646715523,0.000981482665315,0.0108840670675,yes,up,32.49,75.47,81.2,19.84,5.58,22.53,63.0533333333,15.9833333333
EVM0000689,,-,0.00235596758159,-8.72946459702,8.56736321695E-16,5.53415966468E-13,yes,down,0.17,0.57,0.16,28.29,307,6.86,0.3,114.05
EVM0000698,,-,0.0599318991426,-4.06053209853,9.08597529564E-15,4.26848106086E-12,yes,down,3.9,4.34,2.51,42.56,96.08,29.61,3.58333333333,56.0833333333
EVM0000731,,-,2.74044708869,1.45441128005,0.0018404778251,0.0171678265478,yes,up,17.66,30.39,22.67,10.97,4.02,9.4,23.5733333333,8.13
EVM0000740,,-,0.00659183260282,-7.24510467839,1.19166231047E-5,0.000376259486747,yes,down,0,0,0,3.02,2.57,0.25,0,1.94666666667
EVM0000774,,-,0.087365625626,-3.51679043286,4.7529003391E-6,0.000179717595017,yes,down,2.05,5.01,3.86,8.3,40.9,64.45,3.64,37.8833333333
EVM0000777,,-,2.4024828354,1.26452612366,0.00074356052129,0.00880627865666,yes,up,122.13,90.79,118.85,48.18,40.29,46.26,110.59,44.91
EVM0000779,,-,2.01738154271,1.01248396334,0.00258830862489,0.022083956308,yes,up,48.7,89.95,57.18,30.98,25.6,33.83,65.2766666667,30.1366666667
EVM0000785,,-,0.409524699053,-1.28797762928,0.000334084311878,0.00490929771283,yes,down,86.31,110.6,60.56,244.73,205.28,143.96,85.8233333333,197.99
EVM0000788,,-,0.0737848247197,-3.7605320612,3.68346824754E-6,0.000145675531228,yes,down,4.47,7.97,1.89,39.84,122.91,13.22,4.77666666667,58.6566666667
EVM0000791,,-,6.33697628475,2.66379461646,0.00037346270448,0.00531173606197,yes,up,5.24,21.3,5.85,3,1.01,0.63,10.7966666667,1.54666666667
EVM0000793,,-,2.20147255022,1.13846885567,0.000997485327716,0.0109985882188,yes,up,86.87,77.57,92.6,44.63,32.76,36.1,85.68,37.83
EVM0000810,,-,3.11002908336,1.63692807175,0.00588077138689,0.0399269630191,yes,up,51.23,104.62,111.67,17.01,14.27,49.43,89.1733333333,26.9033333333
EVM0000812,,-,0.292829197489,-1.77186868549,0.00327679535924,0.026321325624,yes,down,13.92,16.23,15.88,71.7,67.56,13.17,15.3433333333,50.81
EVM0000827,,-,6.02882724804,2.59187739052,9.48007683374E-8,6.83579679784E-6,yes,up,22.91,55.57,48.41,6.28,8.57,5.01,42.2966666667,6.62
EVM0000844,,-,0.0575431176207,-4.119212803,4.16662815895E-6,0.000161488090871,yes,down,14.53,42.53,1.37,85.76,230.72,543.17,19.4766666667,286.55
