"Gene ID","Gene Name","Gene Description",FC(MS30/M5),Log2FC(MS30/M5),Pvalue,Padjust,Significant,Regulate,MS30_1,MS30_2,MS30_3,M5_1,M5_2,M5_3,MS30,M5
EVM0000011,,-,7.54594979032,2.91570250069,0.000686442442276,0.0117660325138,yes,up,1.5,3.3,2.25,0.22,0.46,0.07,2.35,0.25
EVM0000018,,-,0.193029613469,-2.37310590062,0.00132624683087,0.0185805767957,yes,down,58.25,23.71,28.15,70.96,306.27,125.64,36.7033333333,167.623333333
EVM0000033,,-,12.6199882813,3.65763866555,9.02701221206E-6,0.000402368687196,yes,up,5.35,14.03,7.38,0.5,0.2,0.97,8.92,0.556666666667
EVM0000034,,-,0.265390133997,-1.91381335605,0.00255540733874,0.0293831940655,yes,down,58.14,32.75,58.49,183.27,232.96,57.02,49.7933333333,157.75
EVM0000037,,-,0.263894419158,-1.92196725403,0.00125244915535,0.0178983017046,yes,down,82.11,40.77,46.18,218.95,115.34,237.2,56.3533333333,190.496666667
EVM0000040,,-,12.0446251116,3.59031758534,0.0039857923979,0.0397592045691,yes,up,159.75,1380.51,396.65,0.82,5.35,117.47,645.636666667,41.2133333333
EVM0000091,,-,0.360084240458,-1.47359363535,0.00316570801272,0.0342118805745,yes,down,4.31,6.49,11.46,20.25,18.31,8.42,7.42,15.66
EVM0000103,,-,0.44250765895,-1.17622566922,0.00151271007669,0.0204160409104,yes,down,260.95,271.47,413.98,561.25,571.36,580.05,315.466666667,570.886666667
EVM0000107,,-,11.0318667917,3.4636050366,3.31211991755E-5,0.00115746975401,yes,up,51.79,54.73,52.62,0.24,4.6,6.88,53.0466666667,3.90666666667
EVM0000122,,-,0.361015740695,-1.46986635327,0.00497789931831,0.0461420687566,yes,down,8.93,8.33,10.22,25.89,26.15,10.72,9.16,20.92
EVM0000139,,-,0.0270620714122,-5.20758391803,4.04165059375E-9,6.14157944758E-7,yes,down,0.17,0.18,0.27,3.05,7.9,6.82,0.206666666667,5.92333333333
EVM0000142,,-,0.180945264305,-2.46637474486,0.000249603701022,0.00570093614407,yes,down,83.69,53.7,126.21,111.61,588.69,442.81,87.8666666667,381.036666667
EVM0000145,,-,0.360956443102,-1.47010333842,0.00479025326894,0.0451067889657,yes,down,33.19,32.09,34,103,87.79,38.78,33.0933333333,76.5233333333
EVM0000151,,-,0.0134711391578,-6.21398433542,4.13866652457E-7,3.25592786542E-5,yes,down,0.19,0,0.07,1.26,12.13,2.87,0.0866666666667,5.42
EVM0000152,,-,56.3800638849,5.81711320753,0.000211941312172,0.00501494552157,yes,up,1.06,2.07,4.09,0,0,0,2.40666666667,0
EVM0000157,,-,5.43220736014,2.4415385517,2.60431940742E-5,0.000955038166758,yes,up,314.67,756.55,494.58,43.21,58.68,126.04,521.933333333,75.9766666667
EVM0000162,,-,0.226995009989,-2.13926751166,0.00342941938982,0.0363084445253,yes,down,1.9,1.67,3.72,11.7,11.65,2.01,2.43,8.45333333333
EVM0000190,,-,0.45328529367,-1.14150873952,0.00375220958517,0.0383931148895,yes,down,35.27,41.61,50.64,89.28,78.98,59.61,42.5066666667,75.9566666667
EVM0000192,,-,2.95689418286,1.56408261526,0.000321143527023,0.00685793735424,yes,up,12.32,22.51,23.75,6.84,3.87,4.9,19.5266666667,5.20333333333
EVM0000197,,-,0.178462741904,-2.48630518411,0.000247424218112,0.0056581769332,yes,down,4.67,8.64,5.73,33.59,45.28,7.61,6.34666666667,28.8266666667
EVM0000202,,-,10.0822861361,3.33375089874,0.000672696583803,0.0116447002936,yes,up,21.52,15.88,49.23,0,1.11,5.27,28.8766666667,2.12666666667
EVM0000240,,-,22.3801587646,4.4841483657,2.16232850447E-6,0.000122858967403,yes,up,6.35,11.4,9.08,0.8,0.23,0,8.94333333333,0.343333333333
EVM0000243,,-,14.2869664911,3.83662772071,0.00109689370357,0.016290491721,yes,up,4.19,6.4,4.79,0.59,0,0.28,5.12666666667,0.29
