"Gene ID","Gene Name","Gene Description",FC(M10/M5),Log2FC(M10/M5),Pvalue,Padjust,Significant,Regulate,M10_1,M10_2,M10_3,M5_1,M5_2,M5_3,M10,M5
EVM0000139,,-,0.105807604559,-3.24048477495,0.00034499407845,0.0186078306113,yes,down,1.66,0.47,0.39,3.05,7.9,6.82,0.84,5.92333333333
EVM0000162,,-,0.165324213755,-2.59663005443,0.000880921040067,0.0346817113122,yes,down,1.37,1.89,1.6,11.7,11.65,2.01,1.62,8.45333333333
EVM0000186,,-,56.004943791,5.80748228041,0.00129407216226,0.0442693058299,yes,up,2.61,0.73,4.45,0,0,0,2.59666666667,0
EVM0000243,,-,25.2486377884,4.65813364873,0.000179155217056,0.0124005403921,yes,up,17.54,4.41,5.81,0.59,0,0.28,9.25333333333,0.29
EVM0000272,,-,0.0403842292495,-4.63006418456,1.42446439125E-6,0.000397401005428,yes,down,0,0.59,0.94,5.67,23.96,3.85,0.51,11.16
EVM0000274,,-,0.255753024538,-1.96717679349,8.34204442651E-5,0.00729635788461,yes,down,134.67,59.57,79.87,388.19,321.5,175.86,91.37,295.183333333
EVM0000288,,-,4.44246331225,2.15135986191,0.00035772883138,0.0191036640943,yes,up,91.64,222.15,223.02,32.28,17.98,53.64,178.936666667,34.6333333333
EVM0000343,,-,4.87121710026,2.2842822826,0.00091601103157,0.0358018707774,yes,up,7.74,6.29,7.46,0.8,0.5,2.34,7.16333333333,1.21333333333
EVM0000385,,-,11.502227994,3.52384143471,0.000790816283915,0.0319904957251,yes,up,1.95,3.59,3,0,0.08,0.54,2.84666666667,0.206666666667
EVM0000473,,-,0.211899793398,-2.2385459138,0.000495189855093,0.0232251218703,yes,down,10.81,3.87,2.71,15.85,31.44,17.58,5.79666666667,21.6233333333
EVM0000508,,-,7.89407850834,2.98077086722,0.0013433187899,0.0448041102919,yes,up,33.04,45.25,3.66,7.03,1.26,0.65,27.3166666667,2.98
EVM0000706,,-,9.56512365164,3.25778361891,0.000537829544519,0.0243089940219,yes,up,75.11,19.19,106.13,10.48,0,8.15,66.81,6.21
EVM0000740,,-,0.0402421289752,-4.63514955807,0.000636505454067,0.0273917413624,yes,down,0,0.24,0,3.02,2.57,0.25,0.08,1.94666666667
EVM0000791,,-,6.85392553147,2.77693051693,6.63552163257E-5,0.00620632228535,yes,up,9.41,10.4,17.11,3,1.01,0.63,12.3066666667,1.54666666667
EVM0000887,,-,0.215190135332,-2.21631615098,0.000803363056789,0.0322561231313,yes,down,11.25,6.87,7.52,50.59,40.79,8.27,8.54666666667,33.2166666667
EVM0000921,,-,0.182083013051,-2.45733175868,0.000590942165031,0.0262779665641,yes,down,10.09,4.66,6.51,49.19,41.76,5.79,7.08666666667,32.2466666667
EVM0000948,,-,0.166501843949,-2.58638994017,0.000194458458547,0.0129257842492,yes,down,8.76,2.92,1.43,32.62,21.21,9.69,4.37,21.1733333333
EVM0000972,,-,9.72748401508,3.28206670446,6.41198931477E-5,0.00606739176037,yes,up,26.86,11.02,32.39,0.48,0.79,4.6,23.4233333333,1.95666666667
EVM0001082,,-,0.232639883989,-2.10382963995,1.2373013451E-5,0.0018537752838,yes,down,7.18,5.73,7.37,36.28,19.4,17.75,6.76,24.4766666667
EVM0001157,,-,6.11438873517,2.61220827752,0.000250428282114,0.0150080741959,yes,up,28.86,5.28,13.78,1.15,1.39,3.69,15.9733333333,2.07666666667
EVM0001197,,-,0.164407632471,-2.60465081854,0.00105890661703,0.0392985503903,yes,down,100.34,201.82,82.61,94.79,1057.67,857.54,128.256666667,670
EVM0001210,,-,0.183950050222,-2.44261402469,0.00131546762188,0.0447176083816,yes,down,23.63,19.6,22.3,29.64,226.11,33.81,21.8433333333,96.52
EVM0001227,,-,0.122892983068,-3.02452555169,4.24019392758E-7,0.000145979953068,yes,down,7.61,4.09,5.77,17.83,38.17,59.63,5.82333333333,38.5433333333
EVM0001239,,-,0.249751423782,-2.00143519234,0.000311391741235,0.0176175865907,yes,down,37.84,14.74,12.96,97.18,73.25,43.32,21.8466666667,71.25
EVM0001324,,-,0.284736427152,-1.81230102187,9.80573175028E-6,0.00158384752693,yes,down,1239.54,963.15,1067.52,2569.84,3225.51,3688.63,1090.07,3161.32666667
EVM0001383,,-,7.46766541826,2.90065729042,9.11384487657E-6,0.00150480738722,yes,up,709.66,1169.59,232.13,99.77,104,43.47,703.793333333,82.4133333333
EVM0001402,,-,7.16639566105,2.84124769782,0.000879579325397,0.0346817113122,yes,up,436.61,200.08,129.85,13.03,73.49,7.71,255.513333333,31.41
EVM0001486,,-,0.036265228099,-4.78526926666,1.52140993801E-6,0.000417253122151,yes,down,2.26,0.48,0,5.36,18.65,31.02,0.913333333333,18.3433333333
EVM0001534,,-,0.205881038108,-2.28011713275,0.000823425132034,0.0329798070828,yes,down,99.25,25.52,27.55,163.03,339.4,86.07,50.7733333333,196.166666667
EVM0001599,,-,0.198563044922,-2.33233095072,7.70613572052E-5,0.0069273878941,yes,down,15.56,8.61,17.6,41.19,88.9,47.75,13.9233333333,59.28
EVM0001670,,-,4.9919052033,2.31959053756,0.00069397622159,0.0290208256161,yes,up,13.34,5.41,20.33,3.75,1.8,1.05,13.0266666667,2.2
EVM0001698,,-,0.185215794532,-2.43272096324,0.000137198113238,0.0104225477479,yes,down,19.33,14.22,11.09,87.01,95.91,20.8,14.88,67.9066666667
EVM0001733,,-,63.4451492579,5.98743796094,0.000504184140536,0.0233984835866,yes,up,0.86,2.12,0.86,0,0,0,1.28,0
EVM0001822,,-,13.1878383229,3.72113620031,3.18729294723E-6,0.000706487495605,yes,up,5.94,11.96,13.59,0.94,0.17,0.93,10.4966666667,0.68
EVM0001848,,-,4.82038703662,2.26914898741,8.95259044946E-5,0.00767049957516,yes,up,2356.84,2275.2,1045.58,434.48,434.86,137.83,1892.54,335.723333333
EVM0001894,,-,0.295012514703,-1.76115193866,0.00154588467544,0.0483829012249,yes,down,90.14,51.05,57.49,277.23,210.76,75.63,66.2266666667,187.873333333
EVM0001937,,-,11.7741823665,3.55755497326,4.20315410766E-5,0.00453629302845,yes,up,173.59,141.07,16.34,14.22,8.36,1.4,110.333333333,7.99333333333
EVM0002038,,-,4.93500486513,2.30305150695,0.000194913253619,0.0129257842492,yes,up,16.99,33.17,22,2.24,3.56,6.56,24.0533333333,4.12
EVM0002140,,-,7.92102031836,2.98568627796,1.26326059651E-5,0.00185825633747,yes,up,39.17,13.17,8.5,3.41,1.8,1.08,20.28,2.09666666667
EVM0002207,,-,0.155090827046,-2.68881473519,0.000775709525159,0.0314580346531,yes,down,2.21,8.61,9.25,58.12,51.68,11.66,6.69,40.4866666667
EVM0002256,,-,9.36427270956,3.22716694972,0.000448797800892,0.021873485591,yes,up,6.27,15.2,9.31,0.11,0.42,2.23,10.26,0.92
EVM0002283,,-,4.95659839865,2.30935037123,0.000470351569018,0.0225610349798,yes,up,5371.25,3605.52,1670.24,434.46,1226.61,294.27,3549.00333333,651.78
EVM0002308,,-,0.019084234444,-5.71147487516,5.0078144878E-8,2.79418780094E-5,yes,down,0.93,0.35,0.39,2.85,14.86,49.58,0.556666666667,22.43
EVM0002315,,-,0.263212812538,-1.92569837734,0.000677095401144,0.0288317912787,yes,down,54.45,54.41,40.5,221.52,196.2,57.38,49.7866666667,158.366666667
EVM0002354,,-,0.195726482945,-2.35308912059,0.000239262109163,0.014799284523,yes,down,1.5,2.44,1.83,6.36,13.74,4.81,1.92333333333,8.30333333333
EVM0002385,,-,8.63281757275,3.10983150202,8.13256018013E-5,0.0072303822129,yes,up,555.55,924.3,393.44,161.43,80.29,10.41,624.43,84.0433333333
EVM0002481,,-,0.188958430883,-2.40385920518,0.000117181869057,0.00922308004589,yes,down,90.07,41.09,50.02,360.48,370.06,81.76,60.3933333333,270.766666667
EVM0002589,,-,0.0499474160841,-4.32344614437,5.35566417359E-6,0.00106987656781,yes,down,1.83,0.25,0.84,1.9,8.96,34.83,0.973333333333,15.23
EVM0002605,,-,0.042267646535,-4.56430240451,0.000320614705668,0.0179268732722,yes,down,0.23,0.25,0.17,0.14,0.89,11.68,0.216666666667,4.23666666667
EVM0002652,,-,0.378408650703,-1.40198302475,0.000921048073318,0.0359119972876,yes,down,73.56,50.18,55.71,130.09,157.39,106.09,59.8166666667,131.19
EVM0003067,,-,109.151110963,6.77018300424,8.36050849334E-6,0.00147044986881,yes,up,1.14,0.7,0.63,0,0,0,0.823333333333,0
EVM0003086,,-,0.122663441828,-3.02722275748,0.000142338120884,0.0106985530773,yes,down,43.71,4.51,37.42,387.68,73.02,123.65,28.5466666667,194.783333333
EVM0003116,,-,0.0895164237218,-3.48170378954,4.85552682356E-5,0.00487995525044,yes,down,14.56,14.1,8.1,27.38,88.87,241.66,12.2533333333,119.303333333
EVM0003119,,-,16.8690305905,4.0763051638,6.44352304268E-6,0.00119842122246,yes,up,5.27,6.3,14.49,0.71,0,0.59,8.68666666667,0.433333333333
EVM0003198,,-,0.0961319899639,-3.37883959143,0.000933525109135,0.0361931533656,yes,down,1.02,0.79,0.57,1.65,18.12,1.44,0.793333333333,7.07
EVM0003211,,-,8.82924221801,3.14228962188,2.64286283325E-6,0.000602312162041,yes,up,19.78,13.04,6.91,1.26,0.62,1.86,13.2433333333,1.24666666667
EVM0003253,,-,0.231866551074,-2.10863338219,0.000193987903697,0.0129257842492,yes,down,21.24,8.09,14.09,61.61,24.9,68.16,14.4733333333,51.5566666667
EVM0003341,,-,0.192763199619,-2.37509844163,0.00143743111778,0.0464252952431,yes,down,1.7,4.93,4.02,24.89,18.86,5.91,3.55,16.5533333333
EVM0003496,,-,0.330916529835,-1.5954607364,0.000825568094926,0.032983993442,yes,down,39.22,21.18,22.96,83.28,79.84,44.43,27.7866666667,69.1833333333
EVM0003527,,-,6.25519562916,2.6450550049,3.42607078657E-5,0.00379707201352,yes,up,69.96,97.46,50.77,4.17,6.48,18.25,72.73,9.63333333333
EVM0003567,,-,18.7715611943,4.23047673619,9.15646183001E-7,0.00027353011865,yes,up,4.91,5.29,1.1,0.21,0.11,0.17,3.76666666667,0.163333333333
EVM0003632,,-,6.89350955647,2.78523866081,0.00063047576713,0.0272773486308,yes,up,5.84,3.19,7.22,0.89,0.31,0.75,5.41666666667,0.65
EVM0003746,,-,9.67214709804,3.27383618586,0.000263970099727,0.0156457882186,yes,up,12.42,22.78,21.7,0.6,0.24,4.08,18.9666666667,1.64
EVM0003861,,-,19.1965116124,4.2627722633,0.00106940573667,0.0393930470418,yes,up,1.34,1.32,1.1,0.13,0,0,1.25333333333,0.0433333333333
EVM0003938,,-,0.288263363051,-1.79454060632,1.3010679388E-5,0.00189662885745,yes,down,2493.54,1621.61,2401.83,6637.69,7234.03,5468.35,2172.32666667,6446.69
EVM0003961,,-,6.46595392408,2.69286322696,0.000166719750083,0.0119366914872,yes,up,8.68,8.7,4.26,0.3,0.9,1.55,7.21333333333,0.916666666667
EVM0004014,,-,5.39735416869,2.43225235854,0.00018086196975,0.0124005403921,yes,up,600.03,212.41,163.37,81.31,49.03,18.88,325.27,49.74
EVM0004115,,-,4.88369898394,2.28797427982,0.00047022817405,0.0225610349798,yes,up,23.5,16.95,11.55,1.96,3.57,3.32,17.3333333333,2.95
EVM0004188,,-,6.01683904059,2.58900576304,5.00653274501E-6,0.00102545197908,yes,up,61.93,27.08,31.53,4.27,4.19,7.87,40.18,5.44333333333
EVM0004195,,-,0.242919713822,-2.04144852019,7.38836938779E-5,0.00667883827172,yes,down,30.03,24.01,35.85,60.74,108.21,139.23,29.9633333333,102.726666667
EVM0004229,,-,0.208635899254,-2.26094067615,0.00124822872952,0.0435891498262,yes,down,18.04,40.94,15.12,44.93,184.46,74.47,24.7,101.286666667
EVM0004265,,-,0.249057081873,-2.00545166064,0.000199133194501,0.0130982691879,yes,down,43.77,50.27,37.42,163.63,214.31,70.54,43.82,149.493333333
EVM0004312,,-,10.9309565036,3.45034774317,4.79259283105E-5,0.00486170220314,yes,up,10.65,4.63,22.54,1.39,0.12,1.4,12.6066666667,0.97
EVM0004422,,-,0.271937543694,-1.87865275131,0.00118668446879,0.0422945845585,yes,down,249.6,114.73,85.92,482.07,646.47,219.33,150.083333333,449.29
EVM0004428,,-,0.311661727747,-1.68194709289,0.00121432234071,0.0427092105112,yes,down,32.3,47.2,46.51,124.1,156.75,66.21,42.0033333333,115.686666667
EVM0004429,,-,0.320012493257,-1.643799866,0.000756772857367,0.0309225798107,yes,down,194.37,88.68,86.11,354.03,365.65,225.27,123.053333333,314.983333333
EVM0004488,,-,0.245704562041,-2.02500345016,0.00161268393733,0.0494220431628,yes,down,697.83,1721.74,2734.47,3397.19,6650.34,8301.25,1718.01333333,6116.26
EVM0004662,,-,0.314985985617,-1.66664045336,8.22628735845E-5,0.00725451438707,yes,down,126.22,74.38,118.48,285.39,307.34,252.66,106.36,281.796666667
EVM0004766,,-,13.905852417,3.79762027826,0.00040566697954,0.0207416742098,yes,up,212.74,66.52,10.34,8.98,8.16,0,96.5333333333,5.71333333333
EVM0004773,,-,3.75018134352,1.90696036016,0.000377103948977,0.0199292688466,yes,up,106.48,47.16,135.75,26.12,14.35,24.05,96.4633333333,21.5066666667
EVM0004943,,-,76.9375387445,6.265615773,0.000155434009675,0.0112783753836,yes,up,0.95,2.73,2.88,0,0,0,2.18666666667,0
EVM0004966,,-,0.312338070643,-1.67881966584,4.44077309812E-5,0.00469648035952,yes,down,76.67,54.33,64.06,161.47,200.5,157.57,65.02,173.18
EVM0004996,,-,0.202041532397,-2.30727620575,0.00106982481045,0.0393930470418,yes,down,9.15,13.12,5.49,34.11,70.56,9.86,9.25333333333,38.1766666667
EVM0005013,,-,0.282563551837,-1.82335271193,1.0238537759E-5,0.0016242135243,yes,down,42.83,31.3,47.72,113.87,126.7,117.37,40.6166666667,119.313333333
EVM0005064,,-,7.76754202998,2.95745814276,0.000208523302704,0.0135506649038,yes,up,27.18,38.81,4.55,4.85,1.78,1.14,23.5133333333,2.59
EVM0005071,,-,9.9004152345,3.30748903471,1.17820567876E-7,5.29570724668E-5,yes,up,36.2,32.47,38.56,2.93,0.88,5.18,35.7433333333,2.99666666667
EVM0005074,,-,0.0996053925221,-3.32763233951,5.66247512082E-6,0.00109076797536,yes,down,3.82,0.89,0.58,23.56,10.46,8.28,1.76333333333,14.1
EVM0005079,,-,0.196625414469,-2.34647828817,1.86298109341E-5,0.00245080464003,yes,down,210.04,88.03,112.01,681.45,771.62,274.55,136.693333333,575.873333333
EVM0005111,,-,9.3386500065,3.22321400928,5.23520731108E-5,0.00514855276894,yes,up,2525.73,3005.68,495.37,419.68,97.36,55.86,2008.92666667,190.966666667
EVM0005183,,-,11.5142979487,3.5253545445,7.6945006553E-6,0.00136818368246,yes,up,1252.99,1548.29,279.91,169.53,48.06,20.14,1027.06333333,79.2433333333
EVM0005196,,-,32.9423232424,5.04187039895,2.21677554666E-7,8.96741128013E-5,yes,up,12.92,8.75,0.79,0.28,0.21,0.11,7.48666666667,0.2
EVM0005484,,-,0.259594633803,-1.94566753384,0.00151481791916,0.048101274621,yes,down,97.27,27.19,43.69,252.44,205.86,75.78,56.05,178.026666667
EVM0005529,,-,9.3193609763,3.22023103343,0.000440299754997,0.0215893646533,yes,up,2.2,5.08,1.71,0.06,0.29,0.46,2.99666666667,0.27
EVM0005639,,-,6.18976321726,2.62988422175,0.0012542943034,0.0436025068774,yes,up,4.88,4.78,8.68,0.29,0.36,1.8,6.11333333333,0.816666666667
EVM0005654,,-,0.30100155806,-1.73215714013,0.00117354312016,0.0420112859012,yes,down,72.66,58.7,67.4,243.11,232.97,76.78,66.2533333333,184.286666667
EVM0005668,,-,8.28941694744,3.05127063048,0.00138405113026,0.0454266355756,yes,up,5.38,2.47,15.75,0.97,0.71,0.76,7.86666666667,0.813333333333
EVM0005680,,-,3.27674117261,1.71226171996,0.000245834056693,0.014898280417,yes,up,9.83,9.34,7.58,2.54,1.72,2.55,8.91666666667,2.27
EVM0005725,,-,6.80948670275,2.76754605238,5.58639658202E-5,0.00541278341879,yes,up,546.3,720.08,132.92,62.91,84.04,24.71,466.433333333,57.22
EVM0005744,,-,5.27571898226,2.39936771969,1.93371030522E-7,8.02291447404E-5,yes,up,11.77,10.96,12.06,1.41,1.54,2.51,11.5966666667,1.82
