"Gene ID","Gene Name","Gene Description",FC(MS40/M5),Log2FC(MS40/M5),Pvalue,Padjust,Significant,Regulate,MS40_1,MS40_2,MS40_3,M5_1,M5_2,M5_3,MS40,M5
EVM0000010,,-,2.04765331619,1.0339714764,0.00352568735386,0.0284025869438,yes,up,51.01,77.03,67.34,29.45,29.7,37.84,65.1266666667,32.33
EVM0000011,,-,6.74008547825,2.75276688789,0.000677710325221,0.00838845540925,yes,up,1.46,1.85,1.7,0.22,0.46,0.07,1.67,0.25
EVM0000018,,-,0.276059893825,-1.85694678749,0.00517870023577,0.0374491592517,yes,down,24.32,80.49,38.19,70.96,306.27,125.64,47.6666666667,167.623333333
EVM0000033,,-,9.55795528261,3.25670201788,1.41156959251E-5,0.000381986298967,yes,up,4.13,6.36,5.73,0.5,0.2,0.97,5.40666666667,0.556666666667
EVM0000056,,-,5.51353178479,2.46297675729,0.0070105737506,0.046749173031,yes,up,0.84,0.71,0.79,0.12,0.07,0.24,0.78,0.143333333333
EVM0000061,,-,10.1814814603,3.34787559146,2.58577528119E-6,9.06419064785E-5,yes,up,959.59,739.18,827.95,125.94,115.8,13.84,842.24,85.1933333333
EVM0000091,,-,0.297868423905,-1.74725289876,9.20584240983E-5,0.0017858940863,yes,down,3.78,5.55,4.7,20.25,18.31,8.42,4.67666666667,15.66
EVM0000103,,-,0.467158132167,-1.09801711267,0.000141592300999,0.00255062797772,yes,down,262.21,283.9,239.47,561.25,571.36,580.05,261.86,570.886666667
EVM0000107,,-,8.64814789304,3.11239119499,0.000431478362881,0.00602675701014,yes,up,44.64,16.08,37.81,0.24,4.6,6.88,32.8433333333,3.90666666667
EVM0000108,,-,0.24160620249,-2.04927060303,0.00317801605438,0.0263499614226,yes,down,3.22,7.39,4.31,40.19,16.44,5.08,4.97333333333,20.57
EVM0000121,,-,23.236267375,4.53830643075,2.38423457068E-6,8.40639443386E-5,yes,up,3.41,2.4,3.44,0.2,0,0.19,3.08333333333,0.13
EVM0000132,,-,0.314230313971,-1.67010572996,0.0012696071754,0.0132949983223,yes,down,1.09,0.92,0.57,3.09,3.06,2.14,0.86,2.76333333333
EVM0000139,,-,0.0422287662914,-4.56563009019,2.40941859955E-7,1.20856969422E-5,yes,down,0.16,0.51,0.07,3.05,7.9,6.82,0.246666666667,5.92333333333
EVM0000145,,-,0.389546570275,-1.36013228216,0.00462120395819,0.0344324257172,yes,down,20.82,32.05,36.23,103,87.79,38.78,29.7,76.5233333333
EVM0000151,,-,0.0812770245993,-3.62100860108,0.000150544159784,0.00266171456023,yes,down,0.54,0.21,0.56,1.26,12.13,2.87,0.436666666667,5.42
EVM0000152,,-,55.6664704146,5.79873670554,0.00016255629092,0.00283272277402,yes,up,1.69,2.32,1.29,0,0,0,1.76666666667,0
EVM0000157,,-,5.00098655947,2.3222127277,8.55004345189E-5,0.00166757990332,yes,up,548.32,216.98,338.76,43.21,58.68,126.04,368.02,75.9766666667
EVM0000162,,-,0.202667458336,-2.3028136364,0.00137781657449,0.0141506749772,yes,down,1.59,1.3,2.11,11.7,11.65,2.01,1.66666666667,8.45333333333
EVM0000166,,-,2.85940955849,1.51571727464,0.000966893303058,0.010864386508,yes,up,84.45,63.89,80.3,24.25,18,40.47,76.2133333333,27.5733333333
EVM0000174,,-,8.59053966932,3.10274876626,0.00373043583442,0.0297093218778,yes,up,1.39,1.94,0.94,0.12,0.14,0.23,1.42333333333,0.163333333333
EVM0000190,,-,0.491621357801,-1.02438050195,0.00183123101023,0.0174456939579,yes,down,32.46,39.83,38.19,89.28,78.98,59.61,36.8266666667,75.9566666667
EVM0000197,,-,0.2041884333,-2.29202695097,0.000559463223888,0.00731370282171,yes,down,3.87,5.52,8.27,33.59,45.28,7.61,5.88666666667,28.8266666667
EVM0000202,,-,10.8733957321,3.44273065539,0.00155127182861,0.0154176211625,yes,up,29.67,5.71,32.71,0,1.11,5.27,22.6966666667,2.12666666667
