"Gene ID","Gene Name","Gene Description",FC(M40/M5),Log2FC(M40/M5),Pvalue,Padjust,Significant,Regulate,M40_1,M40_2,M40_3,M5_1,M5_2,M5_3,M40,M5
EVM0000010,,-,3.15833179943,1.65916274189,3.74409267248E-5,0.00113023385041,yes,up,128.18,103.31,86.36,29.45,29.7,37.84,105.95,32.33
EVM0000034,,-,0.211940031794,-2.23827198138,7.68304319696E-5,0.00196369160279,yes,down,31.42,34.24,37.71,183.27,232.96,57.02,34.4566666667,157.75
EVM0000035,,-,0.0745670103454,-3.74531868983,6.77526524357E-6,0.000290426584141,yes,down,0.68,0.48,3.33,6.09,20.98,28.56,1.49666666667,18.5433333333
EVM0000091,,-,0.349648178128,-1.51602410697,0.00317124743339,0.0282195879259,yes,down,8.65,4.98,3.77,20.25,18.31,8.42,5.8,15.66
EVM0000110,,-,11.37525201,3.50782660235,0.000533088563221,0.00787973173793,yes,up,9250.44,3333.46,411.05,850.31,42.03,278.65,4331.65,390.33
EVM0000112,,-,4.57041139801,2.19232403293,0.00294283857004,0.0267422211183,yes,up,22.41,13.15,7.72,0.88,3,4.91,14.4266666667,2.93
EVM0000138,,-,2.2814960695,1.18998016835,0.00624885993964,0.0442642330852,yes,up,41.25,32.94,33.14,11.51,16.61,16.78,35.7766666667,14.9666666667
EVM0000139,,-,0.0235854000959,-5.40596211524,1.87488444477E-5,0.00064813113652,yes,down,0,0,0.4,3.05,7.9,6.82,0.133333333333,5.92333333333
EVM0000145,,-,0.31575319334,-1.66313077024,0.00040776593034,0.00659236234148,yes,down,31.09,21.81,23.15,103,87.79,38.78,25.35,76.5233333333
EVM0000147,,-,0.0228499253313,-5.45166673891,0.00174420235244,0.018572227036,yes,down,0.42,0,0.11,0,19.05,1.06,0.176666666667,6.70333333333
EVM0000151,,-,0.020077563488,-5.63827198807,2.54763927401E-5,0.000832728366624,yes,down,0.26,0,0.1,1.26,12.13,2.87,0.12,5.42
EVM0000162,,-,0.193532682432,-2.3693508758,0.00693529105599,0.0473721316097,yes,down,0.99,3.02,0.86,11.7,11.65,2.01,1.62333333333,8.45333333333
EVM0000175,,-,0.432727911307,-1.20846791611,0.00564686456319,0.0414683842592,yes,down,325.13,338.83,289,846.08,876.27,410.7,317.653333333,711.016666667
EVM0000188,,-,0.305920094894,-1.70877321894,0.00173930364561,0.018548441128,yes,down,4.59,3.38,6.13,21.17,15.67,7.36,4.7,14.7333333333
EVM0000197,,-,0.0814596839588,-3.61776997268,1.52196626635E-7,1.26068881508E-5,yes,down,1.61,2.12,3.61,33.59,45.28,7.61,2.44666666667,28.8266666667
EVM0000215,,-,0.32082222826,-1.64015399209,0.00300400578634,0.0271500595256,yes,down,14.4,9.17,16.61,62.71,40.77,16.25,13.3933333333,39.91
EVM0000221,,-,0.050164341327,-4.31719398239,0.00215179526268,0.0214222855514,yes,down,1.27,2.07,0,1.3,6.14,55.5,1.11333333333,20.98
EVM0000240,,-,9.85181751172,3.3003899046,0.00738177620859,0.0492416059003,yes,up,4.82,2.6,2.53,0.8,0.23,0,3.31666666667,0.343333333333
EVM0000267,,-,2.55777307887,1.35488827653,0.00645557167901,0.0452616752626,yes,up,44.57,34.48,29.75,12.12,8.09,20.18,36.2666666667,13.4633333333
EVM0000272,,-,0.0173231824642,-5.85115219599,3.76758925496E-9,5.0923550984E-7,yes,down,0.28,0.27,0.08,5.67,23.96,3.85,0.21,11.16
EVM0000274,,-,0.25787544852,-1.95525366951,5.06845575778E-6,0.000228354479682,yes,down,73.88,82.01,79.21,388.19,321.5,175.86,78.3666666667,295.183333333
EVM0000284,,-,0.310413635495,-1.68773616291,0.00137101946715,0.0156898589365,yes,down,11.9,9.83,7.84,38.28,39.25,13.83,9.85666666667,30.4533333333
EVM0000288,,-,4.31321422049,2.10876337088,8.47312829495E-5,0.00211636675782,yes,up,184.39,177.4,104.72,32.28,17.98,53.64,155.503333333,34.6333333333
EVM0000297,,-,2.67851049002,1.42143094618,0.00204416561528,0.0207080464051,yes,up,274.55,159.93,261.54,49.4,91.7,101.35,232.006666667,80.8166666667
EVM0000309,,-,3.19398619468,1.67535807702,0.000923636099923,0.0119769338005,yes,up,20.87,34.42,49.1,9.3,10.97,11.28,34.7966666667,10.5166666667
EVM0000324,,-,0.348518025633,-1.52069481951,0.00121133979062,0.0143439075601,yes,down,24.02,16.23,26.3,84.94,64.6,32.39,22.1833333333,60.6433333333
EVM0000345,,-,2.57749961481,1.36597221199,0.00170229686062,0.0183342137832,yes,up,119.04,94.77,70.06,37.46,23.52,44.02,94.6233333333,35
EVM0000352,,-,0.0253485395325,-5.30195356167,1.31011689963E-9,2.04746706721E-7,yes,down,3.54,1.16,1.21,48.12,150.5,20.44,1.97,73.02
EVM0000353,,-,2.44660137655,1.29077906303,0.00324080343127,0.0286684987496,yes,up,139.32,100.43,66.1,42.32,42,36.69,101.95,40.3366666667
EVM0000391,,-,0.117714068754,-3.08664133859,9.60243035136E-6,0.000384174033497,yes,down,1.45,0.66,0.71,14.02,6.47,2.4,0.94,7.63
EVM0000396,,-,0.289706879285,-1.7873341521,2.14261922055E-5,0.000719143538389,yes,down,65.82,74.39,90.7,221.88,340.66,203.9,76.97,255.48
EVM0000414,,-,3.26817141783,1.70848365581,0.00222616700542,0.0218931337721,yes,up,65.87,78.49,45.35,10.08,16.05,29.39,63.2366666667,18.5066666667
