Gene_ID,Category
EVM0003348,NonSymbiotic_specific_DOWN
EVM0003389,Symbiotic_specific_UP
EVM0003428,Symbiotic_specific_UP
EVM0003450,Symbiotic_specific_UP
EVM0003470,Symbiotic_specific_UP
EVM0003525,Symbiotic_specific_UP
EVM0003528,Symbiotic_specific_UP
EVM0003534,Symbiotic_specific_UP
EVM0003552,NonSymbiotic_specific_DOWN
EVM0003581,Symbiotic_specific_UP
EVM0003585,Symbiotic_specific_UP
EVM0003598,Symbiotic_specific_UP
EVM0003634,Symbiotic_specific_UP
EVM0003687,Symbiotic_specific_UP
EVM0003694,NonSymbiotic_specific_DOWN
EVM0003735,Symbiotic_specific_UP
EVM0003741,NonSymbiotic_specific_DOWN
EVM0003762,Symbiotic_specific_UP
EVM0003766,Symbiotic_specific_UP
EVM0003801,Symbiotic_specific_UP
EVM0003816,Symbiotic_specific_UP
EVM0003824,Symbiotic_specific_UP
EVM0003847,Symbiotic_specific_UP
EVM0003856,Symbiotic_specific_UP
EVM0003861,Symbiotic_specific_UP
EVM0003868,Symbiotic_specific_UP
EVM0003871,Symbiotic_specific_UP
EVM0003876,Symbiotic_specific_UP
EVM0003902,Symbiotic_specific_UP
EVM0003996,Symbiotic_specific_UP
EVM0004014,Symbiotic_specific_UP
EVM0004027,Symbiotic_specific_UP
EVM0004074,Symbiotic_specific_UP
EVM0004095,Symbiotic_specific_UP
EVM0004111,Symbiotic_specific_UP
EVM0004115,Symbiotic_specific_UP
EVM0004137,Symbiotic_specific_UP
EVM0004152,Symbiotic_specific_UP
EVM0004158,Symbiotic_specific_UP
EVM0004167,Symbiotic_specific_UP
EVM0004194,Symbiotic_specific_UP
EVM0004286,Symbiotic_specific_UP
EVM0004288,Symbiotic_specific_UP
EVM0004319,Symbiotic_specific_UP
EVM0004325,Symbiotic_specific_UP
EVM0004376,Symbiotic_specific_UP
EVM0004424,Symbiotic_specific_UP
EVM0004484,Symbiotic_specific_UP
EVM0004488,NonSymbiotic_specific_DOWN
EVM0004519,Symbiotic_specific_UP
EVM0004547,Symbiotic_specific_UP
EVM0004619,Symbiotic_specific_UP
EVM0004625,Symbiotic_specific_UP
EVM0004676,Symbiotic_specific_UP
EVM0004709,NonSymbiotic_specific_DOWN
EVM0004729,NonSymbiotic_specific_DOWN
EVM0004740,Symbiotic_specific_UP
EVM0004762,Symbiotic_specific_UP
EVM0004766,Symbiotic_specific_UP
EVM0004770,NonSymbiotic_specific_DOWN
EVM0004820,Symbiotic_specific_UP
EVM0004833,Symbiotic_specific_UP
EVM0004888,Symbiotic_specific_UP
EVM0004900,Symbiotic_specific_UP
EVM0004917,Symbiotic_specific_UP
EVM0004939,Symbiotic_specific_UP
EVM0004945,Symbiotic_specific_UP
EVM0004947,Symbiotic_specific_UP
EVM0004958,Symbiotic_specific_UP
EVM0004963,Symbiotic_specific_UP
EVM0004982,Symbiotic_specific_UP
EVM0005013,NonSymbiotic_specific_DOWN
EVM0005016,Symbiotic_specific_UP
EVM0005021,Symbiotic_specific_UP
EVM0005057,Symbiotic_specific_UP
EVM0005058,Symbiotic_specific_UP
EVM0005064,Symbiotic_specific_UP
EVM0005070,Symbiotic_specific_UP
EVM0005087,NonSymbiotic_specific_DOWN
EVM0005088,Symbiotic_specific_UP
EVM0005111,Symbiotic_specific_UP
EVM0005120,Symbiotic_specific_UP
EVM0005123,Symbiotic_specific_UP
EVM0005129,Symbiotic_specific_UP
EVM0005144,NonSymbiotic_specific_DOWN
EVM0005159,Symbiotic_specific_UP
EVM0005183,Symbiotic_specific_UP
EVM0005186,Symbiotic_specific_UP
EVM0005193,Symbiotic_specific_UP
EVM0005197,Symbiotic_specific_UP
EVM0005223,Symbiotic_specific_UP
EVM0005257,Symbiotic_specific_UP
EVM0005278,NonSymbiotic_specific_DOWN
EVM0005284,Symbiotic_specific_UP
EVM0005334,Symbiotic_specific_UP
EVM0005344,Symbiotic_specific_UP
EVM0005364,Symbiotic_specific_UP
EVM0005365,Symbiotic_specific_UP
EVM0005376,NonSymbiotic_specific_DOWN
EVM0005385,Symbiotic_specific_UP
EVM0005416,Symbiotic_specific_UP
EVM0005441,Symbiotic_specific_UP
EVM0005442,Symbiotic_specific_UP
EVM0005460,Symbiotic_specific_UP
EVM0005471,Symbiotic_specific_UP
EVM0005472,NonSymbiotic_specific_DOWN
EVM0005500,Symbiotic_specific_UP
EVM0005506,NonSymbiotic_specific_DOWN
EVM0005557,Symbiotic_specific_UP
EVM0005561,Symbiotic_specific_UP
EVM0005620,Symbiotic_specific_UP
EVM0005636,Symbiotic_specific_UP
EVM0005697,Symbiotic_specific_UP
EVM0005706,NonSymbiotic_specific_DOWN
EVM0005721,Symbiotic_specific_UP
EVM0005724,Symbiotic_specific_UP
EVM0005725,Symbiotic_specific_UP
EVM0005762,Symbiotic_specific_UP
EVM0005786,NonSymbiotic_specific_DOWN
EVM0005787,Symbiotic_specific_UP
EVM0005798,NonSymbiotic_specific_DOWN
EVM0005806,Symbiotic_specific_UP
EVM0005854,Symbiotic_specific_UP
EVM0005876,Symbiotic_specific_UP
EVM0005909,Symbiotic_specific_UP
EVM0005924,Symbiotic_specific_UP
EVM0005981,Symbiotic_specific_UP
EVM0006000,Symbiotic_specific_UP
EVM0006082,Symbiotic_specific_UP
EVM0006085,Symbiotic_specific_UP
EVM0006107,Symbiotic_specific_UP
EVM0006148,NonSymbiotic_specific_DOWN
EVM0006156,Symbiotic_specific_UP
EVM0006163,Symbiotic_specific_UP
EVM0006166,Symbiotic_specific_UP
EVM0006218,Symbiotic_specific_UP
EVM0006220,Symbiotic_specific_UP
