"Gene ID","Gene Name","Gene Description",FC(MS20/M5),Log2FC(MS20/M5),Pvalue,Padjust,Significant,Regulate,MS20_1,MS20_2,MS20_3,M5_1,M5_2,M5_3,MS20,M5
EVM0007885,,-,0.205715309986,-2.28127892709,0.00119906993506,0.0107022917164,yes,down,8.85,3.51,3.95,34.74,30.55,3.53,5.43666666667,22.94
EVM0007904,,-,2.49048449861,1.31642643135,0.00775112269198,0.0435954233809,yes,up,70.45,30.25,35.63,11.42,11.87,24.33,45.4433333333,15.8733333333
EVM0007915,,-,2.70814540674,1.43730520271,0.000953078424048,0.00893067678648,yes,up,17.06,20.07,14.22,5.66,6.29,5.44,17.1166666667,5.79666666667
EVM0007924,,-,10.9699086255,3.45547960366,0.000257230200358,0.00320582011911,yes,up,6.36,3.2,1.74,0.79,0,0.1,3.76666666667,0.296666666667
EVM0007928,,-,5.89063371265,2.55842284712,0.00015421503854,0.00211835166044,yes,up,27.05,8.19,13.19,4.11,1.39,1.78,16.1433333333,2.42666666667
EVM0007941,,-,3.20402367505,1.67988480809,0.000567602620878,0.00591798824965,yes,up,100.89,60.91,70.11,33.33,10.1,22.22,77.3033333333,21.8833333333
EVM0007954,,-,0.113864489702,-3.13461020314,0.000671117928973,0.00673412349243,yes,down,2.16,0.7,2.32,2.05,3.25,35.42,1.72666666667,13.5733333333
EVM0007964,,-,0.24737950538,-2.01520211241,5.22963435825E-5,0.0008855178947,yes,down,47.42,43.57,43.59,222.34,206.57,68.47,44.86,165.793333333
EVM0007968,,-,0.0131944291099,-6.24392725958,0.00378889368949,0.0259116185911,yes,down,0,0,0,0,10.76,3.01,0,4.59
EVM0007969,,-,5.03329771112,2.33150393335,0.00067909484249,0.00680640875142,yes,up,22.01,9.11,14.7,3.18,0.48,4.4,15.2733333333,2.68666666667
EVM0007975,,-,2.20458981351,1.14051025258,0.00579050018067,0.0352230425498,yes,up,24.5,17.74,14.44,9.97,5.23,7.82,18.8933333333,7.67333333333
EVM0007990,,-,0.151550940536,-2.72212528927,1.30864581747E-6,4.22074227942E-5,yes,down,6.61,7.36,13.27,82.83,61.97,26.35,9.08,57.05
EVM0007992,,-,0.204904788418,-2.28697439582,0.000546801276979,0.00576251974123,yes,down,5.26,5.08,4.42,36.47,25.21,3.86,4.92,21.8466666667
EVM0008000,,-,0.365983204006,-1.45015065417,8.79964309961E-5,0.00134165986999,yes,down,62.11,62.34,70.83,166.35,182.83,142.42,65.0933333333,163.866666667
EVM0008010,,-,4.60912649511,2.20449336224,0.000560522559551,0.0058694809195,yes,up,32.33,14.77,18.13,3.54,1.13,7.73,21.7433333333,4.13333333333
EVM0008016,,-,0.14571769627,-2.77875200286,4.28903623378E-5,0.000755412625933,yes,down,18.97,3.83,5.52,47.65,95.19,19.36,9.44,54.0666666667
EVM0008027,,-,11.6414836659,3.54120303123,5.56655562791E-5,0.000931816013379,yes,up,95.49,37.62,25.57,8.22,3.37,0.16,52.8933333333,3.91666666667
EVM0008046,,-,6.86871287047,2.78003977745,0.000393151218643,0.00446094907236,yes,up,2.38,4.31,2.79,0.56,0.35,0.37,3.16,0.426666666667
EVM0008047,,-,5.93424265046,2.56906391965,3.89902763196E-5,0.000695662376888,yes,up,11.8,4.62,2.56,1.34,0.88,0.5,6.32666666667,0.906666666667
