"Gene ID","Gene Name","Gene Description",FC(MS10/M5),Log2FC(MS10/M5),Pvalue,Padjust,Significant,Regulate,MS10_1,MS10_2,MS10_3,M5_1,M5_2,M5_3,MS10,M5
EVM0000033,,-,6.94101893974,2.7951474656,0.000506414563835,0.0107133576455,yes,up,3.43,4.9,3.74,0.5,0.2,0.97,4.02333333333,0.556666666667
EVM0000034,,-,0.293803245226,-1.76707776351,0.00232656390758,0.0303877734867,yes,down,72.71,35.19,39.81,183.27,232.96,57.02,49.2366666667,157.75
EVM0000061,,-,7.17296563497,2.84256971897,0.00296964517423,0.0357848456141,yes,up,91.99,679.84,948.23,125.94,115.8,13.84,573.353333333,85.1933333333
EVM0000091,,-,0.333031827541,-1.58626803398,0.000850265757568,0.0153207427432,yes,down,8.38,4.64,3.8,20.25,18.31,8.42,5.60666666667,15.66
EVM0000107,,-,7.42560397141,2.89250837421,0.00081239860964,0.0148213501896,yes,up,31.33,40.19,20.33,0.24,4.6,6.88,30.6166666667,3.90666666667
EVM0000121,,-,14.4827563206,3.85626429341,0.00261097687557,0.0329807605335,yes,up,0.32,3.13,2.17,0.2,0,0.19,1.87333333333,0.13
EVM0000139,,-,0.0878281232427,-3.50917321395,9.62239259503E-7,9.03668174142E-5,yes,down,0.88,0.45,0.39,3.05,7.9,6.82,0.573333333333,5.92333333333
EVM0000145,,-,0.305884150852,-1.70894273817,0.000194933636616,0.00554934636033,yes,down,30.74,21.42,21.41,103,87.79,38.78,24.5233333333,76.5233333333
EVM0000151,,-,0.120564167321,-3.05212690498,0.00179660151119,0.025551665937,yes,down,0.9,0.22,0.96,1.26,12.13,2.87,0.693333333333,5.42
EVM0000152,,-,60.6338112539,5.92205060353,8.34801575862E-5,0.00299281560807,yes,up,3.03,1.47,1.7,0,0,0,2.06666666667,0
EVM0000157,,-,4.46143567411,2.15750803899,0.00081937612325,0.014872709464,yes,up,261.3,610.66,182.15,43.21,58.68,126.04,351.37,75.9766666667
EVM0000162,,-,0.156688960482,-2.67402455655,0.000655208903465,0.0127787921579,yes,down,2.48,1.28,0.56,11.7,11.65,2.01,1.44,8.45333333333
EVM0000188,,-,0.344919096197,-1.53567009011,0.00201078477525,0.0276203186935,yes,down,6.74,4.22,4.92,21.17,15.67,7.36,5.29333333333,14.7333333333
EVM0000197,,-,0.192208397306,-2.37925672815,0.000322206169074,0.00779793081456,yes,down,6.25,4.33,6.6,33.59,45.28,7.61,5.72666666667,28.8266666667
EVM0000202,,-,12.8793787011,3.68699109467,0.00066188422889,0.0128799093189,yes,up,63.75,24.18,8.65,0,1.11,5.27,32.1933333333,2.12666666667
EVM0000240,,-,10.9856575355,3.4575493183,0.00102853075958,0.0175103561827,yes,up,2.61,3.36,4.57,0.8,0.23,0,3.51333333333,0.343333333333
EVM0000267,,-,2.82512573997,1.49831508006,0.00169570834283,0.0245820806746,yes,up,41.56,32.85,43.02,12.12,8.09,20.18,39.1433333333,13.4633333333
EVM0000272,,-,0.0475437245697,-4.39460126151,0.000152129934837,0.00461648473973,yes,down,0,0.4,1.12,5.67,23.96,3.85,0.506666666667,11.16
EVM0000274,,-,0.211936450545,-2.23829635948,1.85640590805E-7,2.27508468731E-5,yes,down,85.43,48.02,62.35,388.19,321.5,175.86,65.2666666667,295.183333333
EVM0000288,,-,3.71041950882,1.89158231059,0.000169638991179,0.00500518052534,yes,up,130.43,120.91,142.88,32.28,17.98,53.64,131.406666667,34.6333333333
EVM0000297,,-,3.91608059472,1.96941045657,0.0018471773738,0.0260558720722,yes,up,131.67,357.31,442.9,49.4,91.7,101.35,310.626666667,80.8166666667
EVM0000352,,-,0.124051573089,-3.01098806483,0.000395309753142,0.00896501261082,yes,down,17.64,2.71,9.11,48.12,150.5,20.44,9.82,73.02
EVM0000363,,-,61.7613331275,5.94863198861,5.97555212204E-5,0.00236829221717,yes,up,1.57,1.1,1.13,0,0,0,1.26666666667,0
EVM0000396,,-,0.309129339369,-1.69371750846,6.00696327089E-5,0.00237529348561,yes,down,130.15,67.43,57.95,221.88,340.66,203.9,85.1766666667,255.48
EVM0000427,,-,5.4556663183,2.44775540835,0.000954855100991,0.0166499207686,yes,up,2.86,6.43,1.24,0.52,0.58,0.75,3.51,0.616666666667
EVM0000440,,-,0.357723749158,-1.48308219334,0.000449674956506,0.00982349336084,yes,down,91.49,52.15,43.77,182.02,203.89,104.13,62.47,163.346666667
EVM0000443,,-,0.437457144517,-1.19278640462,0.00460370479295,0.0471279732359,yes,down,39.81,37.88,31.73,51.67,76.09,110.34,36.4733333333,79.3666666667
