"Gene ID","Gene Name","Gene Description",FC(M20/M5),Log2FC(M20/M5),Pvalue,Padjust,Significant,Regulate,M20_1,M20_2,M20_3,M5_1,M5_2,M5_3,M20,M5
EVM0000005,,-,3.7641092318,1.91230849467,0.00119397111923,0.0173097761005,yes,up,5.14,8.76,6.64,0.88,0.96,2.53,6.84666666667,1.45666666667
EVM0000034,,-,0.217163597372,-2.20314580709,7.94932631476E-5,0.00231699082039,yes,down,29.94,56.4,40.17,183.27,232.96,57.02,42.17,157.75
EVM0000035,,-,0.22905308269,-2.12624611552,0.000964819690615,0.0149284396957,yes,down,3.08,8.42,4.81,6.09,20.98,28.56,5.43666666667,18.5433333333
EVM0000091,,-,0.34451617376,-1.53735638117,0.00076705327346,0.0125639052505,yes,down,4.43,8.17,7.35,20.25,18.31,8.42,6.65,15.66
EVM0000107,,-,10.0351837932,3.32699513462,3.97887147493E-5,0.00140173011403,yes,up,44.4,51.53,50.13,0.24,4.6,6.88,48.6866666667,3.90666666667
EVM0000127,,-,43.1338130891,5.43074735285,5.77875360683E-5,0.00182469495834,yes,up,2.97,3.2,1.11,0,0,0.13,2.42666666667,0.0433333333333
EVM0000139,,-,0.00492914979076,-7.66444546127,1.26929610323E-7,1.15736726504E-5,yes,down,0,0,0,3.05,7.9,6.82,0,5.92333333333
EVM0000145,,-,0.287091781679,-1.8004160625,9.52185130558E-5,0.00269248899853,yes,down,25.07,24.6,29.35,103,87.79,38.78,26.34,76.5233333333
EVM0000151,,-,0.0362997059748,-4.78389832724,0.000105751852929,0.00289899492652,yes,down,0.54,0.13,0,1.26,12.13,2.87,0.223333333333,5.42
EVM0000152,,-,66.5407445164,6.05616610334,0.000250951419287,0.00554271068686,yes,up,1.21,3.42,3.3,0,0,0,2.64333333333,0
EVM0000162,,-,0.148228379709,-2.75410640335,0.000406978271932,0.00791264140789,yes,down,1.15,1.24,2.17,11.7,11.65,2.01,1.52,8.45333333333
EVM0000186,,-,48.4760185823,5.59919930757,0.00212246746892,0.0264474790162,yes,up,1.47,4.5,1.11,0,0,0,2.36,0
EVM0000188,,-,0.270615492859,-1.88568365826,0.000253541134337,0.00558543912348,yes,down,4.03,6.14,4.3,21.17,15.67,7.36,4.82333333333,14.7333333333
EVM0000197,,-,0.0853994863034,-3.54962879803,2.80412729579E-8,3.23061990003E-6,yes,down,2.37,3.55,3.14,33.59,45.28,7.61,3.02,28.8266666667
