"Gene ID","Gene Name","Gene Description",FC(MS50/M5),Log2FC(MS50/M5),Pvalue,Padjust,Significant,Regulate,MS50_1,MS50_2,MS50_3,M5_1,M5_2,M5_3,MS50,M5
EVM0000010,,-,3.83230479244,1.93821230665,6.76191836138E-7,2.58064262533E-5,yes,up,101.52,144.84,171.68,29.45,29.7,37.84,139.346666667,32.33
EVM0000011,,-,7.32766700236,2.87335394326,0.000298818354933,0.00362893897581,yes,up,1.86,2.05,2.23,0.22,0.46,0.07,2.04666666667,0.25
EVM0000018,,-,0.150752964051,-2.72974172673,0.000330767277483,0.0039230016855,yes,down,51.37,13.69,17.08,70.96,306.27,125.64,27.38,167.623333333
EVM0000024,,-,2.2620848949,1.17765307396,0.00353397860455,0.0236576483659,yes,up,33.75,51.69,55.62,19.69,21.53,13.6,47.02,18.2733333333
EVM0000030,,-,9.83542724888,3.29798772423,0.00484660728287,0.0299194946069,yes,up,2.5,2.94,2.6,0,0,0.7,2.68,0.233333333333
EVM0000033,,-,14.7018643093,3.87792720636,8.06041624345E-8,4.43852577886E-6,yes,up,6.82,9.86,11.87,0.5,0.2,0.97,9.51666666667,0.556666666667
EVM0000034,,-,0.277615442233,-1.84884027548,0.0014089667084,0.0118168039039,yes,down,35.2,55.83,57.72,183.27,232.96,57.02,49.5833333333,157.75
EVM0000037,,-,0.12869899318,-2.95792732757,9.92509453809E-7,3.51211189528E-5,yes,down,44.79,16.4,17.07,218.95,115.34,237.2,26.0866666667,190.496666667
EVM0000040,,-,13.1829547307,3.72060185655,0.00160032384235,0.0130720723774,yes,up,482.07,816.42,566,0.82,5.35,117.47,621.496666667,41.2133333333
EVM0000045,,-,5.79752105398,2.5354361541,0.00751491725513,0.0412282949781,yes,up,253.49,1926.24,2308.15,55.73,66.46,528.69,1495.96,216.96
EVM0000056,,-,6.79507949126,2.76449042825,0.00186765807117,0.0146441716866,yes,up,0.7,1.46,1.21,0.12,0.07,0.24,1.12333333333,0.143333333333
EVM0000061,,-,5.43079787615,2.44116416993,0.00146405920019,0.012157110223,yes,up,726.6,448.91,317.75,125.94,115.8,13.84,497.753333333,85.1933333333
EVM0000077,,-,5.48367244984,2.45514239878,0.00427041398017,0.0273161927115,yes,up,7.44,7.37,5.37,0.67,0.4,2.23,6.72666666667,1.1
EVM0000086,,-,0.282245539528,-1.82497731337,0.00674828403225,0.0381406680802,yes,down,4.89,1.35,1.85,14.04,5.92,7.21,2.69666666667,9.05666666667
EVM0000091,,-,0.329462696502,-1.60181296992,0.00239351533606,0.0175466797535,yes,down,3.01,7.49,7.42,20.25,18.31,8.42,5.97333333333,15.66
EVM0000103,,-,0.489072432741,-1.03187994747,0.00141517942873,0.0118534346501,yes,down,286.45,304.85,345.1,561.25,571.36,580.05,312.133333333,570.886666667
EVM0000107,,-,20.2183298841,4.3375919246,1.73186447971E-7,8.47163048666E-6,yes,up,116.44,75.77,71.55,0.24,4.6,6.88,87.92,3.90666666667
EVM0000121,,-,17.3061060661,4.11320924472,8.20618282383E-5,0.00130278222046,yes,up,1.14,3.64,3.34,0.2,0,0.19,2.70666666667,0.13
EVM0000122,,-,0.329135674762,-1.60324568735,0.00172063608925,0.0137772411085,yes,down,8.58,6.05,8.34,25.89,26.15,10.72,7.65666666667,20.92
EVM0000139,,-,0.0692191578427,-3.85268480076,2.02192743854E-6,6.32607264982E-5,yes,down,0.75,0.14,0.45,3.05,7.9,6.82,0.446666666667,5.92333333333
EVM0000142,,-,0.0660682332172,-3.91989942479,0.000163036491697,0.00223326389799,yes,down,68.93,4.78,4.77,111.61,588.69,442.81,26.16,381.036666667
EVM0000145,,-,0.317862745575,-1.6535241565,0.000753938158284,0.00735356787683,yes,down,19.17,32.31,31.56,103,87.79,38.78,27.68,76.5233333333
EVM0000151,,-,0.0621468167024,-4.00817569464,8.69093375656E-5,0.00136400949748,yes,down,0.73,0.23,0.13,1.26,12.13,2.87,0.363333333333,5.42
EVM0000152,,-,51.354348539,5.68241453988,0.000268381080351,0.00334790198162,yes,up,2.54,1.18,1.64,0,0,0,1.78666666667,0
EVM0000157,,-,6.38448528462,2.67457031495,5.33661829702E-7,2.1427634258E-5,yes,up,411.58,703.87,543.06,43.21,58.68,126.04,552.836666667,75.9766666667
EVM0000162,,-,0.11780283575,-3.08555382675,3.94738152484E-5,0.000732222176402,yes,down,0.58,1.48,1.33,11.7,11.65,2.01,1.13,8.45333333333
EVM0000174,,-,9.8742857939,3.30367640196,0.00235160715135,0.0172920734941,yes,up,0.73,2.19,2.75,0.12,0.14,0.23,1.89,0.163333333333
EVM0000184,,-,5.59481284461,2.48408987156,0.00928775259377,0.0478105918108,yes,up,1.85,1.17,1,0,0.19,0.46,1.34,0.216666666667
EVM0000188,,-,0.360917680896,-1.47025827414,0.00493979870244,0.0302719258809,yes,down,6.68,5.41,5.46,21.17,15.67,7.36,5.85,14.7333333333
